"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 24 11:04:31 UTC 2026","Thu Sep 24 11:04:41 UTC 2026","10128","Administracion de Usuario","specs/CrearUsuario/crear_usuario.test.ts","Verificar Creación de Usuarios","","","Crear Usuario | [SP] | TC02: Verificar campos obligatorios @daily",""
"passed","Thu Sep 24 11:04:54 UTC 2026","Thu Sep 24 11:06:27 UTC 2026","92950","Jubilacion Patronal","specs/JubilacionPatronal/jubilacionPatronal.test.ts","Verificar historias de Usuario para Jubilacion Patronal","","","Jubilacion Patronal| [HP] | TC01 : Happy path, usuario sube archivo de remuneraciones, tambien verifica que se descargue el reporte de remu subido @daily",""
"passed","Thu Sep 24 11:04:31 UTC 2026","Thu Sep 24 11:04:52 UTC 2026","21548","Recursos","specs/Recursos/recursos.test.ts","Verificar pestañas de Recursos","","","Recursos | [HP] | TC01: Verificar pestaña de Política de calidad @daily",""
"passed","Thu Sep 24 11:04:31 UTC 2026","Thu Sep 24 11:04:52 UTC 2026","21333","Recursos","specs/Recursos/recursos.test.ts","Verificar pestañas de Recursos","","","Recursos | [HP] | TC02: Verificar pestaña de Política de privacidad @daily",""
"passed","Thu Sep 24 11:09:27 UTC 2026","Thu Sep 24 11:09:59 UTC 2026","31642","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar gestión de Estudios Actuariales pendientes","","","Verificar Eliminacion de acta pendiente | [HP] | ACTAF-2550 | TC03-01: Verificar que usuario puede eliminar actas pendientes @daily",""
"passed","Thu Sep 24 11:05:01 UTC 2026","Thu Sep 24 11:05:24 UTC 2026","22976","Administracion de Usuario","specs/MiCuenta/entidades_registradas.test.ts","Verificar eliminacion y acceso a empresas","","","Entidades Registradas | [HP] | TC03: Verificar agregar una empresa por RUC @daily",""
"passed","Thu Sep 24 11:07:02 UTC 2026","Thu Sep 24 11:08:07 UTC 2026","65423","Simulador - Proyeccion de Reservas (Demo)","specs/Simulador/proyeccionReservasDemo.test.ts","Proyección de Reservas (DEMO) - Simulador de Beneficios","","","Proyección de Reservas (DEMO) | [HP] | TC_PR01: Verificar vista por defecto de Proyección de Reservas @daily",""
"passed","Thu Sep 24 11:04:57 UTC 2026","Thu Sep 24 11:06:34 UTC 2026","96572","Jubilacion Patronal","specs/JubilacionPatronal/jubilacionPatronal.test.ts","Verificar historias de Usuario para Jubilacion Patronal","","","Jubilacion Patronal| ACTAF 2412 | [HP] | TC07 : Happy path, usuario ingresa 60 ultimas remuneraciones manualmente @daily",""
"passed","Thu Sep 24 11:04:41 UTC 2026","Thu Sep 24 11:04:56 UTC 2026","14216","Inicio","specs/Inicio/inicio.test.ts","Verificar página de Inicio muestre contenido esperado","","","Inicio | [HP] | TC01: Verificar 6 servicios sean mostrados en la pagina de inicio @daily",""
"passed","Thu Sep 24 11:05:18 UTC 2026","Thu Sep 24 11:05:37 UTC 2026","19716","Jubilacion Patronal","specs/JubilacionPatronal/jubilacionPatronal.test.ts","Verificar lista de Actas de Jubilación (Mis Actas)","","","Lista de Actas de Jubilación | [HP] | TC01: Usuario visualiza actas pendientes y continúa con la primera acta @daily",""
"passed","Thu Sep 24 11:05:39 UTC 2026","Thu Sep 24 11:08:12 UTC 2026","152966","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar creacion Estudio actuarial cusando empresa por primea vez en el sistema (no estudios previos)","","","Crear Estudio Actuarial | [HP] | TC02-01: Verificar nueva empresa se registra por primera vez @daily",""
"passed","Thu Sep 24 11:04:31 UTC 2026","Thu Sep 24 11:05:01 UTC 2026","29948","Administracion de Usuario","specs/MiCuenta/entidades_registradas.test.ts","Verificar eliminacion y acceso a empresas","","","Entidades Registradas | [HP] | TC02: Verificar usuario puede eliminar una entidad @daily",""
"passed","Thu Sep 24 11:05:26 UTC 2026","Thu Sep 24 11:05:50 UTC 2026","23845","Jubilacion Patronal","specs/JubilacionPatronal/jubilacionPatronal.test.ts","Verificar lista de Actas de Jubilación (Mis Actas)","","","Lista de Actas de Jubilación | [HP] | TC02: Usuario elimina una acta pendiente y el conteo se actualiza @daily",""
"passed","Thu Sep 24 11:06:51 UTC 2026","Thu Sep 24 11:07:41 UTC 2026","50123","Creacion de Impuestos Diferidos","specs/ImpuestosDiferidos/crearImpuestosDif.test.ts","Verificar creacion de Impuestos Diferidos","","","Impuestos Diferidos | [HP] | TC02: Usuario puede mandar solicitud de Impuestos Diferidos @daily",""
"passed","Thu Sep 24 11:04:54 UTC 2026","Thu Sep 24 11:05:15 UTC 2026","21704","Inicio","specs/Inicio/inicio.test.ts","Verificar página de Inicio muestre contenido esperado","","","Inicio | [HP] | TC02: Verificar datos se muestran en pagina principal @daily",""
"passed","Thu Sep 24 11:08:12 UTC 2026","Thu Sep 24 11:09:27 UTC 2026","74628","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar creacion Estudio actuarial cusando empresa por primea vez en el sistema (no estudios previos)","","","Crear Estudio Actuarial | [HP] | TC02-01-I: Editar manualmente los saldos del primer estudio anterior @daily",""
